Source Name,Sample Name,Characteristics: Organism,Characteristics: ecotype,Factor Value: Spaceflight,Characteristics: organism part,Factor Value: Growth Time,Protocol REF,Parameter Value: Mean Growth Temperature,Parameter Value: Growth Medium,Parameter Value: Hardware,Parameter Value: container,Parameter Value: pH,Parameter Value: light source,Parameter Value: Light Intensity,Parameter Value: light cycle,Parameter Value: light regimen,Parameter Value: growth environment,Protocol REF,Parameter Value: Sample Preservation Method,Parameter Value: Sample Storage Temperature,Parameter Value: Developmental stage at time of sample collection
R01,R01_roots,Arabidopsis thaliana,Col-0,Space Flight,Plant Roots,6 day,growth protocol,15.687 degree Celsius,0.5X Murashige-Skoog (MS) salts and 1% (w/v) sucrose,Vegetable Production System (Veggie),90 X 90 mm square Petri dishes with grid lines,5.7,Light Emitting Diode Device,120-140 micromole per square meter per second,light 24 hour,continuous light regimen,ISS-Columbus,sample collection,RNALater,-80 degree Celsius,Cotyledons fully open
R02,R02_roots,Arabidopsis thaliana,Col-0,Ground Control,Plant Roots,11 day,growth protocol,14.655 degree Celsius,0.5X Murashige-Skoog (MS) salts and 1% (w/v) sucrose,Vegetable Production System (Veggie),90 X 90 mm square Petri dishes with grid lines,5.7,Light Emitting Diode Device,120-140 micromole per square meter per second,light 24 hour,continuous light regimen,International Space Station Environmental Simulator (ISSES),sample collection,RNALater,-80 degree Celsius,2 rosette leaves are greater than 1 mm in length
R03,R03_roots,Arabidopsis thaliana,Col-0,Space Flight,Plant Roots,6 day,growth protocol,15.687 degree Celsius,0.5X Murashige-Skoog (MS) salts and 1% (w/v) sucrose,Vegetable Production System (Veggie),90 X 90 mm square Petri dishes with grid lines,5.7,Light Emitting Diode Device,120-140 micromole per square meter per second,light 24 hour,continuous light regimen,ISS-Columbus,sample collection,RNALater,-80 degree Celsius,Cotyledons fully open
R04,R04_roots,Arabidopsis thaliana,Col-0,Ground Control,Plant Roots,11 day,growth protocol,14.655 degree Celsius,0.5X Murashige-Skoog (MS) salts and 1% (w/v) sucrose,Vegetable Production System (Veggie),90 X 90 mm square Petri dishes with grid lines,5.7,Light Emitting Diode Device,120-140 micromole per square meter per second,light 24 hour,continuous light regimen,International Space Station Environmental Simulator (ISSES),sample collection,RNALater,-80 degree Celsius,2 rosette leaves are greater than 1 mm in length
R05,R05_roots,Arabidopsis thaliana,Col-0,Space Flight,Plant Roots,11 day,growth protocol,15.687 degree Celsius,0.5X Murashige-Skoog (MS) salts and 1% (w/v) sucrose,Vegetable Production System (Veggie),90 X 90 mm square Petri dishes with grid lines,5.7,Light Emitting Diode Device,120-140 micromole per square meter per second,light 24 hour,continuous light regimen,ISS-Columbus,sample collection,RNALater,-80 degree Celsius,2 rosette leaves are greater than 1 mm in length
R06,R06_roots,Arabidopsis thaliana,Col-0,Space Flight,Plant Roots,6 day,growth protocol,15.687 degree Celsius,0.5X Murashige-Skoog (MS) salts and 1% (w/v) sucrose,Vegetable Production System (Veggie),90 X 90 mm square Petri dishes with grid lines,5.7,Light Emitting Diode Device,120-140 micromole per square meter per second,light 24 hour,continuous light regimen,ISS-Columbus,sample collection,RNALater,-80 degree Celsius,Cotyledons fully open
R07,R07_roots,Arabidopsis thaliana,Col-0,Ground Control,Plant Roots,6 day,growth protocol,14.655 degree Celsius,0.5X Murashige-Skoog (MS) salts and 1% (w/v) sucrose,Vegetable Production System (Veggie),90 X 90 mm square Petri dishes with grid lines,5.7,Light Emitting Diode Device,120-140 micromole per square meter per second,light 24 hour,continuous light regimen,International Space Station Environmental Simulator (ISSES),sample collection,RNALater,-80 degree Celsius,Cotyledons fully open
R08,R08_roots,Arabidopsis thaliana,Col-0,Space Flight,Plant Roots,11 day,growth protocol,15.687 degree Celsius,0.5X Murashige-Skoog (MS) salts and 1% (w/v) sucrose,Vegetable Production System (Veggie),90 X 90 mm square Petri dishes with grid lines,5.7,Light Emitting Diode Device,120-140 micromole per square meter per second,light 24 hour,continuous light regimen,ISS-Columbus,sample collection,RNALater,-80 degree Celsius,2 rosette leaves are greater than 1 mm in length
R09,R09_roots,Arabidopsis thaliana,Col-0,Ground Control,Plant Roots,11 day,growth protocol,14.655 degree Celsius,0.5X Murashige-Skoog (MS) salts and 1% (w/v) sucrose,Vegetable Production System (Veggie),90 X 90 mm square Petri dishes with grid lines,5.7,Light Emitting Diode Device,120-140 micromole per square meter per second,light 24 hour,continuous light regimen,International Space Station Environmental Simulator (ISSES),sample collection,RNALater,-80 degree Celsius,2 rosette leaves are greater than 1 mm in length
R10,R10_roots,Arabidopsis thaliana,Col-0,Ground Control,Plant Roots,6 day,growth protocol,14.655 degree Celsius,0.5X Murashige-Skoog (MS) salts and 1% (w/v) sucrose,Vegetable Production System (Veggie),90 X 90 mm square Petri dishes with grid lines,5.7,Light Emitting Diode Device,120-140 micromole per square meter per second,light 24 hour,continuous light regimen,International Space Station Environmental Simulator (ISSES),sample collection,RNALater,-80 degree Celsius,Cotyledons fully open
