Source Name,Sample Name,Characteristics: Organism,Factor Value: Genotype,Characteristics: ecotype,Characteristics: organism part,Characteristics: Seed Source,Characteristics: age,Characteristics: developmental stage,Factor Value: Spaceflight,Protocol REF,Parameter Value: Growth Medium,Parameter Value: Mean Growth Temperature,Parameter Value: Hardware,Parameter Value: container,Parameter Value: light source,Parameter Value: light cycle,Parameter Value: Light Intensity,Parameter Value: light quality,Parameter Value: growth environment,Protocol REF,Parameter Value: Sample Preservation Method,Parameter Value: Sample Storage Temperature,Parameter Value: Age at sample harvest,Parameter Value: Developmental stage at time of sample collection
"Ground control, Col-0, Roots, replicate 1",SRS13753904,Arabidopsis thaliana,Wild Type,Col-0,Plant Roots,TAIR CS70000,11 day,Seedlings,Ground Control,Growth Protocol,"50 mL of a 0.5% Phytagel-based growth medium supplemented with: 0.5 x Murashige-Skoog salts, 0.5% (w/v) sucrose, and 1 x Gamborgs Vitamin Mixture",17.143 degree Celsius,Vegetable Production System (Veggie),100 mm Petri dish,Light Emitting Diode Device,24 hour,100–135 micromole per square meter per second,red and blue,International Space Station Environmental Simulator (ISSES),sample collection,RNALater,-80 degree Celsius,11 day,Seedlings
"Ground control, Col-0, Roots, replicate 2",SRS13753905,Arabidopsis thaliana,Wild Type,Col-0,Plant Roots,TAIR CS70000,11 day,Seedlings,Ground Control,Growth Protocol,"50 mL of a 0.5% Phytagel-based growth medium supplemented with: 0.5 x Murashige-Skoog salts, 0.5% (w/v) sucrose, and 1 x Gamborgs Vitamin Mixture",17.143 degree Celsius,Vegetable Production System (Veggie),100 mm Petri dish,Light Emitting Diode Device,24 hour,100–135 micromole per square meter per second,red and blue,International Space Station Environmental Simulator (ISSES),sample collection,RNALater,-80 degree Celsius,11 day,Seedlings
"Ground control, elp2-5, Roots, replicate 3",SRS13753906,Arabidopsis thaliana,elp2-5,Col-0,Plant Roots,Dr. Zhonglin Mou,11 day,Seedlings,Ground Control,Growth Protocol,"50 mL of a 0.5% Phytagel-based growth medium supplemented with: 0.5 x Murashige-Skoog salts, 0.5% (w/v) sucrose, and 1 x Gamborgs Vitamin Mixture",17.143 degree Celsius,Vegetable Production System (Veggie),100 mm Petri dish,Light Emitting Diode Device,24 hour,100–135 micromole per square meter per second,red and blue,International Space Station Environmental Simulator (ISSES),sample collection,RNALater,-80 degree Celsius,11 day,Seedlings
"Flight, elp2-5, Roots, replicate 1",SRS13753908,Arabidopsis thaliana,elp2-5,Col-0,Plant Roots,Dr. Zhonglin Mou,11 day,Seedlings,Space Flight,Growth Protocol,"50 mL of a 0.5% Phytagel-based growth medium supplemented with: 0.5 x Murashige-Skoog salts, 0.5% (w/v) sucrose, and 1 x Gamborgs Vitamin Mixture",19.059 degree Celsius,Vegetable Production System (Veggie),100 mm Petri dish,Light Emitting Diode Device,24 hour,100–135 micromole per square meter per second,red and blue,ISS-Columbus,sample collection,RNALater,-80 degree Celsius,11 day,Seedlings
"Ground control, elp2-5, Roots, replicate 4",SRS13753907,Arabidopsis thaliana,elp2-5,Col-0,Plant Roots,Dr. Zhonglin Mou,11 day,Seedlings,Ground Control,Growth Protocol,"50 mL of a 0.5% Phytagel-based growth medium supplemented with: 0.5 x Murashige-Skoog salts, 0.5% (w/v) sucrose, and 1 x Gamborgs Vitamin Mixture",17.143 degree Celsius,Vegetable Production System (Veggie),100 mm Petri dish,Light Emitting Diode Device,24 hour,100–135 micromole per square meter per second,red and blue,International Space Station Environmental Simulator (ISSES),sample collection,RNALater,-80 degree Celsius,11 day,Seedlings
"Flight, elp2-5, Roots, replicate 2",SRS13753909,Arabidopsis thaliana,elp2-5,Col-0,Plant Roots,Dr. Zhonglin Mou,11 day,Seedlings,Space Flight,Growth Protocol,"50 mL of a 0.5% Phytagel-based growth medium supplemented with: 0.5 x Murashige-Skoog salts, 0.5% (w/v) sucrose, and 1 x Gamborgs Vitamin Mixture",19.059 degree Celsius,Vegetable Production System (Veggie),100 mm Petri dish,Light Emitting Diode Device,24 hour,100–135 micromole per square meter per second,red and blue,ISS-Columbus,sample collection,RNALater,-80 degree Celsius,11 day,Seedlings
"Flight, elp2-5, Roots, replicate 3",SRS13753910,Arabidopsis thaliana,elp2-5,Col-0,Plant Roots,Dr. Zhonglin Mou,11 day,Seedlings,Space Flight,Growth Protocol,"50 mL of a 0.5% Phytagel-based growth medium supplemented with: 0.5 x Murashige-Skoog salts, 0.5% (w/v) sucrose, and 1 x Gamborgs Vitamin Mixture",19.059 degree Celsius,Vegetable Production System (Veggie),100 mm Petri dish,Light Emitting Diode Device,24 hour,100–135 micromole per square meter per second,red and blue,ISS-Columbus,sample collection,RNALater,-80 degree Celsius,11 day,Seedlings
"Flight, elp2-5, Roots, replicate 4",SRS13753911,Arabidopsis thaliana,elp2-5,Col-0,Plant Roots,Dr. Zhonglin Mou,11 day,Seedlings,Space Flight,Growth Protocol,"50 mL of a 0.5% Phytagel-based growth medium supplemented with: 0.5 x Murashige-Skoog salts, 0.5% (w/v) sucrose, and 1 x Gamborgs Vitamin Mixture",19.059 degree Celsius,Vegetable Production System (Veggie),100 mm Petri dish,Light Emitting Diode Device,24 hour,100–135 micromole per square meter per second,red and blue,ISS-Columbus,sample collection,RNALater,-80 degree Celsius,11 day,Seedlings
"Ground control, Col-0, Roots, replicate 3",SRS13753912,Arabidopsis thaliana,Wild Type,Col-0,Plant Roots,TAIR CS70000,11 day,Seedlings,Ground Control,Growth Protocol,"50 mL of a 0.5% Phytagel-based growth medium supplemented with: 0.5 x Murashige-Skoog salts, 0.5% (w/v) sucrose, and 1 x Gamborgs Vitamin Mixture",17.143 degree Celsius,Vegetable Production System (Veggie),100 mm Petri dish,Light Emitting Diode Device,24 hour,100–135 micromole per square meter per second,red and blue,International Space Station Environmental Simulator (ISSES),sample collection,RNALater,-80 degree Celsius,11 day,Seedlings
"Ground control, Col-0, Roots, replicate 4",SRS13753913,Arabidopsis thaliana,Col-0,Col-0,Plant Roots,TAIR CS70000,11 day,Seedlings,Ground Control,Growth Protocol,"50 mL of a 0.5% Phytagel-based growth medium supplemented with: 0.5 x Murashige-Skoog salts, 0.5% (w/v) sucrose, and 1 x Gamborgs Vitamin Mixture",17.143 degree Celsius,Vegetable Production System (Veggie),100 mm Petri dish,Light Emitting Diode Device,24 hour,100–135 micromole per square meter per second,red and blue,International Space Station Environmental Simulator (ISSES),sample collection,RNALater,-80 degree Celsius,11 day,Seedlings
"Flight, Col-0, Roots, replicate 1",SRS13753914,Arabidopsis thaliana,Wild Type,Col-0,Plant Roots,TAIR CS70000,11 day,Seedlings,Space Flight,Growth Protocol,"50 mL of a 0.5% Phytagel-based growth medium supplemented with: 0.5 x Murashige-Skoog salts, 0.5% (w/v) sucrose, and 1 x Gamborgs Vitamin Mixture",19.059 degree Celsius,Vegetable Production System (Veggie),100 mm Petri dish,Light Emitting Diode Device,24 hour,100–135 micromole per square meter per second,red and blue,ISS-Columbus,sample collection,RNALater,-80 degree Celsius,11 day,Seedlings
"Flight, Col-0, Roots, replicate 2",SRS13753915,Arabidopsis thaliana,Wild Type,Col-0,Plant Roots,TAIR CS70000,11 day,Seedlings,Space Flight,Growth Protocol,"50 mL of a 0.5% Phytagel-based growth medium supplemented with: 0.5 x Murashige-Skoog salts, 0.5% (w/v) sucrose, and 1 x Gamborgs Vitamin Mixture",19.059 degree Celsius,Vegetable Production System (Veggie),100 mm Petri dish,Light Emitting Diode Device,24 hour,100–135 micromole per square meter per second,red and blue,ISS-Columbus,sample collection,RNALater,-80 degree Celsius,11 day,Seedlings
"Flight, Col-0, Roots, replicate 3",SRS13753916,Arabidopsis thaliana,Wild Type,Col-0,Plant Roots,TAIR CS70000,11 day,Seedlings,Space Flight,Growth Protocol,"50 mL of a 0.5% Phytagel-based growth medium supplemented with: 0.5 x Murashige-Skoog salts, 0.5% (w/v) sucrose, and 1 x Gamborgs Vitamin Mixture",19.059 degree Celsius,Vegetable Production System (Veggie),100 mm Petri dish,Light Emitting Diode Device,24 hour,100–135 micromole per square meter per second,red and blue,ISS-Columbus,sample collection,RNALater,-80 degree Celsius,11 day,Seedlings
"Flight, Col-0, Roots, replicate 4",SRS13753917,Arabidopsis thaliana,Wild Type,Col-0,Plant Roots,TAIR CS70000,11 day,Seedlings,Space Flight,Growth Protocol,"50 mL of a 0.5% Phytagel-based growth medium supplemented with: 0.5 x Murashige-Skoog salts, 0.5% (w/v) sucrose, and 1 x Gamborgs Vitamin Mixture",19.059 degree Celsius,Vegetable Production System (Veggie),100 mm Petri dish,Light Emitting Diode Device,24 hour,100–135 micromole per square meter per second,red and blue,ISS-Columbus,sample collection,RNALater,-80 degree Celsius,11 day,Seedlings
"Ground control, elp2-5, Roots, replicate 1",SRS13753918,Arabidopsis thaliana,elp2-5,Col-0,Plant Roots,Dr. Zhonglin Mou,11 day,Seedlings,Ground Control,Growth Protocol,"50 mL of a 0.5% Phytagel-based growth medium supplemented with: 0.5 x Murashige-Skoog salts, 0.5% (w/v) sucrose, and 1 x Gamborgs Vitamin Mixture",17.143 degree Celsius,Vegetable Production System (Veggie),100 mm Petri dish,Light Emitting Diode Device,24 hour,100–135 micromole per square meter per second,red and blue,ISS-Columbus,sample collection,RNALater,-80 degree Celsius,11 day,Seedlings
"Ground control, elp2-5, Roots, replicate 2",SRS13753919,Arabidopsis thaliana,elp2-5,Col-0,Plant Roots,Dr. Zhonglin Mou,11 day,Seedlings,Ground Control,Growth Protocol,"50 mL of a 0.5% Phytagel-based growth medium supplemented with: 0.5 x Murashige-Skoog salts, 0.5% (w/v) sucrose, and 1 x Gamborgs Vitamin Mixture",17.143 degree Celsius,Vegetable Production System (Veggie),100 mm Petri dish,Light Emitting Diode Device,24 hour,100–135 micromole per square meter per second,red and blue,ISS-Columbus,sample collection,RNALater,-80 degree Celsius,11 day,Seedlings
"Ground control, Col-0, Roots, replicate 1",SRS13753904,Arabidopsis thaliana,Wild Type,Col-0,Plant Roots,TAIR CS70000,11 day,Seedlings,Ground Control,Growth Protocol,"50 mL of a 0.5% Phytagel-based growth medium supplemented with: 0.5 x Murashige-Skoog salts, 0.5% (w/v) sucrose, and 1 x Gamborgs Vitamin Mixture",17.143 degree Celsius,Vegetable Production System (Veggie),100 mm Petri dish,Light Emitting Diode Device,24 hour,100–135 micromole per square meter per second,red and blue,International Space Station Environmental Simulator (ISSES),sample collection,RNALater,-80 degree Celsius,11 day,Seedlings
"Ground control, Col-0, Roots, replicate 2",SRS13753905,Arabidopsis thaliana,Wild Type,Col-0,Plant Roots,TAIR CS70000,11 day,Seedlings,Ground Control,Growth Protocol,"50 mL of a 0.5% Phytagel-based growth medium supplemented with: 0.5 x Murashige-Skoog salts, 0.5% (w/v) sucrose, and 1 x Gamborgs Vitamin Mixture",17.143 degree Celsius,Vegetable Production System (Veggie),100 mm Petri dish,Light Emitting Diode Device,24 hour,100–135 micromole per square meter per second,red and blue,International Space Station Environmental Simulator (ISSES),sample collection,RNALater,-80 degree Celsius,11 day,Seedlings
"Ground control, elp2-5, Roots, replicate 3",SRS13753906,Arabidopsis thaliana,elp2-5,Col-0,Plant Roots,Dr. Zhonglin Mou,11 day,Seedlings,Ground Control,Growth Protocol,"50 mL of a 0.5% Phytagel-based growth medium supplemented with: 0.5 x Murashige-Skoog salts, 0.5% (w/v) sucrose, and 1 x Gamborgs Vitamin Mixture",17.143 degree Celsius,Vegetable Production System (Veggie),100 mm Petri dish,Light Emitting Diode Device,24 hour,100–135 micromole per square meter per second,red and blue,International Space Station Environmental Simulator (ISSES),sample collection,RNALater,-80 degree Celsius,11 day,Seedlings
"Flight, elp2-5, Roots, replicate 1",SRS13753908,Arabidopsis thaliana,elp2-5,Col-0,Plant Roots,Dr. Zhonglin Mou,11 day,Seedlings,Space Flight,Growth Protocol,"50 mL of a 0.5% Phytagel-based growth medium supplemented with: 0.5 x Murashige-Skoog salts, 0.5% (w/v) sucrose, and 1 x Gamborgs Vitamin Mixture",19.059 degree Celsius,Vegetable Production System (Veggie),100 mm Petri dish,Light Emitting Diode Device,24 hour,100–135 micromole per square meter per second,red and blue,ISS-Columbus,sample collection,RNALater,-80 degree Celsius,11 day,Seedlings
"Ground control, elp2-5, Roots, replicate 4",SRS13753907,Arabidopsis thaliana,elp2-5,Col-0,Plant Roots,Dr. Zhonglin Mou,11 day,Seedlings,Ground Control,Growth Protocol,"50 mL of a 0.5% Phytagel-based growth medium supplemented with: 0.5 x Murashige-Skoog salts, 0.5% (w/v) sucrose, and 1 x Gamborgs Vitamin Mixture",17.143 degree Celsius,Vegetable Production System (Veggie),100 mm Petri dish,Light Emitting Diode Device,24 hour,100–135 micromole per square meter per second,red and blue,International Space Station Environmental Simulator (ISSES),sample collection,RNALater,-80 degree Celsius,11 day,Seedlings
"Flight, elp2-5, Roots, replicate 2",SRS13753909,Arabidopsis thaliana,elp2-5,Col-0,Plant Roots,Dr. Zhonglin Mou,11 day,Seedlings,Space Flight,Growth Protocol,"50 mL of a 0.5% Phytagel-based growth medium supplemented with: 0.5 x Murashige-Skoog salts, 0.5% (w/v) sucrose, and 1 x Gamborgs Vitamin Mixture",19.059 degree Celsius,Vegetable Production System (Veggie),100 mm Petri dish,Light Emitting Diode Device,24 hour,100–135 micromole per square meter per second,red and blue,ISS-Columbus,sample collection,RNALater,-80 degree Celsius,11 day,Seedlings
"Flight, elp2-5, Roots, replicate 3",SRS13753910,Arabidopsis thaliana,elp2-5,Col-0,Plant Roots,Dr. Zhonglin Mou,11 day,Seedlings,Space Flight,Growth Protocol,"50 mL of a 0.5% Phytagel-based growth medium supplemented with: 0.5 x Murashige-Skoog salts, 0.5% (w/v) sucrose, and 1 x Gamborgs Vitamin Mixture",19.059 degree Celsius,Vegetable Production System (Veggie),100 mm Petri dish,Light Emitting Diode Device,24 hour,100–135 micromole per square meter per second,red and blue,ISS-Columbus,sample collection,RNALater,-80 degree Celsius,11 day,Seedlings
"Flight, elp2-5, Roots, replicate 4",SRS13753911,Arabidopsis thaliana,elp2-5,Col-0,Plant Roots,Dr. Zhonglin Mou,11 day,Seedlings,Space Flight,Growth Protocol,"50 mL of a 0.5% Phytagel-based growth medium supplemented with: 0.5 x Murashige-Skoog salts, 0.5% (w/v) sucrose, and 1 x Gamborgs Vitamin Mixture",19.059 degree Celsius,Vegetable Production System (Veggie),100 mm Petri dish,Light Emitting Diode Device,24 hour,100–135 micromole per square meter per second,red and blue,ISS-Columbus,sample collection,RNALater,-80 degree Celsius,11 day,Seedlings
"Ground control, Col-0, Roots, replicate 3",SRS13753912,Arabidopsis thaliana,Wild Type,Col-0,Plant Roots,TAIR CS70000,11 day,Seedlings,Ground Control,Growth Protocol,"50 mL of a 0.5% Phytagel-based growth medium supplemented with: 0.5 x Murashige-Skoog salts, 0.5% (w/v) sucrose, and 1 x Gamborgs Vitamin Mixture",17.143 degree Celsius,Vegetable Production System (Veggie),100 mm Petri dish,Light Emitting Diode Device,24 hour,100–135 micromole per square meter per second,red and blue,International Space Station Environmental Simulator (ISSES),sample collection,RNALater,-80 degree Celsius,11 day,Seedlings
"Ground control, Col-0, Roots, replicate 4",SRS13753913,Arabidopsis thaliana,Col-0,Col-0,Plant Roots,TAIR CS70000,11 day,Seedlings,Ground Control,Growth Protocol,"50 mL of a 0.5% Phytagel-based growth medium supplemented with: 0.5 x Murashige-Skoog salts, 0.5% (w/v) sucrose, and 1 x Gamborgs Vitamin Mixture",17.143 degree Celsius,Vegetable Production System (Veggie),100 mm Petri dish,Light Emitting Diode Device,24 hour,100–135 micromole per square meter per second,red and blue,International Space Station Environmental Simulator (ISSES),sample collection,RNALater,-80 degree Celsius,11 day,Seedlings
"Flight, Col-0, Roots, replicate 1",SRS13753914,Arabidopsis thaliana,Wild Type,Col-0,Plant Roots,TAIR CS70000,11 day,Seedlings,Space Flight,Growth Protocol,"50 mL of a 0.5% Phytagel-based growth medium supplemented with: 0.5 x Murashige-Skoog salts, 0.5% (w/v) sucrose, and 1 x Gamborgs Vitamin Mixture",19.059 degree Celsius,Vegetable Production System (Veggie),100 mm Petri dish,Light Emitting Diode Device,24 hour,100–135 micromole per square meter per second,red and blue,ISS-Columbus,sample collection,RNALater,-80 degree Celsius,11 day,Seedlings
"Flight, Col-0, Roots, replicate 2",SRS13753915,Arabidopsis thaliana,Wild Type,Col-0,Plant Roots,TAIR CS70000,11 day,Seedlings,Space Flight,Growth Protocol,"50 mL of a 0.5% Phytagel-based growth medium supplemented with: 0.5 x Murashige-Skoog salts, 0.5% (w/v) sucrose, and 1 x Gamborgs Vitamin Mixture",19.059 degree Celsius,Vegetable Production System (Veggie),100 mm Petri dish,Light Emitting Diode Device,24 hour,100–135 micromole per square meter per second,red and blue,ISS-Columbus,sample collection,RNALater,-80 degree Celsius,11 day,Seedlings
"Flight, Col-0, Roots, replicate 3",SRS13753916,Arabidopsis thaliana,Wild Type,Col-0,Plant Roots,TAIR CS70000,11 day,Seedlings,Space Flight,Growth Protocol,"50 mL of a 0.5% Phytagel-based growth medium supplemented with: 0.5 x Murashige-Skoog salts, 0.5% (w/v) sucrose, and 1 x Gamborgs Vitamin Mixture",19.059 degree Celsius,Vegetable Production System (Veggie),100 mm Petri dish,Light Emitting Diode Device,24 hour,100–135 micromole per square meter per second,red and blue,ISS-Columbus,sample collection,RNALater,-80 degree Celsius,11 day,Seedlings
